X,R,DENSITY,SPECIFIC HEAT,THICKNESS,THERMAL CONDUCTIVITY,EMISSIVITY,ABSORPTIVITY
0,0,7900,480,0,16,0.05,0.37
0.005,0.00143992171,7900,480,0.00143992171,16,0.05,0.37
0.01,0.002417984112,7900,480,0.002417984112,16,0.05,0.37
0.015,0.003272348507,7900,480,0.003272348507,16,0.05,0.37
0.02,0.004054121863,7900,480,0.004054121863,16,0.05,0.37
0.025,0.004785286825,7900,480,0.004785286825,16,0.05,0.37
0.03,0.005477948897,7900,480,0.005477948897,16,0.05,0.37
0.035,0.006139704532,7900,480,0.006139704532,16,0.05,0.37
0.04,0.006775730133,7900,480,0.006775730133,16,0.05,0.37
0.045,0.00738976037,7900,480,0.00738976037,16,0.05,0.37
0.05,0.007984605418,7900,480,0.007984605418,16,0.05,0.37
0.055,0.008562449171,7900,480,0.008562449171,16,0.05,0.37
0.06,0.00912503276,7900,480,0.00912503276,16,0.05,0.37
0.065,0.009673773416,7900,480,0.009673773416,16,0.05,0.37
0.07,0.0102098447,7900,480,0.0102098447,16,0.05,0.37
0.075,0.01073423251,7900,480,0.01073423251,16,0.05,0.37
0.08,0.01124777535,7900,480,0.01124777535,16,0.05,0.37
0.085,0.01175119388,7900,480,0.01175119388,16,0.05,0.37
0.09,0.01224511328,7900,480,0.01224511328,16,0.05,0.37
0.095,0.01273008019,7900,480,0.01273008019,16,0.05,0.37
0.1,0.01320657602,7900,480,0.01320657602,16,0.05,0.37
0.105,0.01367502737,7900,480,0.01367502737,16,0.05,0.37
0.11,0.0141358144,7900,480,0.0141358144,16,0.05,0.37
0.115,0.01458927755,7900,480,0.01458927755,16,0.05,0.37
0.12,0.01503572309,7900,480,0.01503572309,16,0.05,0.37
0.125,0.01547542759,7900,480,0.01547542759,16,0.05,0.37
0.13,0.01590864175,7900,480,0.01590864175,16,0.05,0.37
0.135,0.0163355935,7900,480,0.0163355935,16,0.05,0.37
0.14,0.01675649072,7900,480,0.01675649072,16,0.05,0.37
0.145,0.01717152342,4430,560,0.00125,6.8,0.05,0.63
0.15,0.01758086573,4430,560,0.00125,6.8,0.05,0.63
0.155,0.01798467754,4430,560,0.00125,6.8,0.05,0.63
0.16,0.01838310587,4430,560,0.00125,6.8,0.05,0.63
0.165,0.01877628619,4430,560,0.00125,6.8,0.05,0.63
0.17,0.01916434342,4430,560,0.00125,6.8,0.05,0.63
0.175,0.01954739291,4430,560,0.00125,6.8,0.05,0.63
0.18,0.01992554125,4430,560,0.00125,6.8,0.05,0.63
0.185,0.02029888699,4430,560,0.00125,6.8,0.05,0.63
0.19,0.02066752127,4430,560,0.00125,6.8,0.05,0.63
0.195,0.02103152841,4430,560,0.00125,6.8,0.05,0.63
0.2,0.02139098637,4430,560,0.00125,6.8,0.05,0.63
0.205,0.02174596723,4430,560,0.00125,6.8,0.05,0.63
0.21,0.02209653755,4430,560,0.00125,6.8,0.05,0.63
0.215,0.02244275876,4430,560,0.00125,6.8,0.05,0.63
0.22,0.02278468741,4430,560,0.00125,6.8,0.05,0.63
0.225,0.02312237553,4430,560,0.00125,6.8,0.05,0.63
0.23,0.02345587079,4430,560,0.00125,6.8,0.05,0.63
0.235,0.02378521677,4430,560,0.00125,6.8,0.05,0.63
0.24,0.02411045316,4430,560,0.00125,6.8,0.05,0.63
0.245,0.0244316159,4430,560,0.00125,6.8,0.05,0.63
0.25,0.02474873734,4430,560,0.00125,6.8,0.05,0.63
0.255,0.02506184639,4430,560,0.00125,6.8,0.05,0.63
0.26,0.02537096861,4430,560,0.00125,6.8,0.05,0.63
0.265,0.02567612633,4430,560,0.00125,6.8,0.05,0.63
0.27,0.02597733869,4430,560,0.00125,6.8,0.05,0.63
0.275,0.02627462178,4430,560,0.00125,6.8,0.05,0.63
0.28,0.02656798862,4430,560,0.00125,6.8,0.05,0.63
0.285,0.02685744923,4430,560,0.00125,6.8,0.05,0.63
0.29,0.02714301067,4430,560,0.00125,6.8,0.05,0.63
0.295,0.02742467701,4430,560,0.00125,6.8,0.05,0.63
0.3,0.02770244939,4430,560,0.00125,6.8,0.05,0.63
0.305,0.02797632594,4430,560,0.00125,6.8,0.05,0.63
0.31,0.02824630178,4430,560,0.00125,6.8,0.05,0.63
0.315,0.02851236902,4430,560,0.00125,6.8,0.05,0.63
0.32,0.0287745166,4430,560,0.00125,6.8,0.05,0.63
0.325,0.02903273033,4430,560,0.00125,6.8,0.05,0.63
0.33,0.0292869927,4430,560,0.00125,6.8,0.05,0.63
0.335,0.02953728283,4430,560,0.00125,6.8,0.05,0.63
0.34,0.02978357632,4430,560,0.00125,6.8,0.05,0.63
0.345,0.0300258451,4430,560,0.00125,6.8,0.05,0.63
0.35,0.03026405723,4430,560,0.00125,6.8,0.05,0.63
0.355,0.03049817672,4430,560,0.00125,6.8,0.05,0.63
0.36,0.03072816329,4430,560,0.00125,6.8,0.05,0.63
0.365,0.03095397204,4430,560,0.00125,6.8,0.05,0.63
0.37,0.03117555321,4430,560,0.00125,6.8,0.05,0.63
0.375,0.03139285175,4430,560,0.00125,6.8,0.05,0.63
0.38,0.03160580692,4430,560,0.00125,6.8,0.05,0.63
0.385,0.0318143518,4430,560,0.00125,6.8,0.05,0.63
0.39,0.03201841269,4430,560,0.00125,6.8,0.05,0.63
0.395,0.03221790847,4430,560,0.00125,6.8,0.05,0.63
0.4,0.0324127498,4430,560,0.00125,6.8,0.05,0.63
0.405,0.03260283819,4430,560,0.00125,6.8,0.05,0.63
0.41,0.03278806491,4430,560,0.00125,6.8,0.05,0.63
0.415,0.03296830967,4430,560,0.00125,6.8,0.05,0.63
0.42,0.03314343902,4430,560,0.00125,6.8,0.05,0.63
0.425,0.03331330443,4430,560,0.00125,6.8,0.05,0.63
0.43,0.03347773994,4430,560,0.00125,6.8,0.05,0.63
0.435,0.0336365591,4430,560,0.00125,6.8,0.05,0.63
0.44,0.0337895513,4430,560,0.00125,6.8,0.05,0.63
0.445,0.0339364769,4430,560,0.00125,6.8,0.05,0.63
0.45,0.03407706085,4430,560,0.00125,6.8,0.05,0.63
0.455,0.03421098423,4430,560,0.00125,6.8,0.05,0.63
0.46,0.0343378724,4430,560,0.00125,6.8,0.05,0.63
0.465,0.03445727831,4430,560,0.00125,6.8,0.05,0.63
0.47,0.03456865742,4430,560,0.00125,6.8,0.05,0.63
0.475,0.03467132864,4430,560,0.00125,6.8,0.05,0.63
0.48,0.03476440846,4430,560,0.00125,6.8,0.05,0.63
0.485,0.03484668901,4430,560,0.00125,6.8,0.05,0.63
0.49,0.03491637657,4430,560,0.00125,6.8,0.05,0.63
0.495,0.03497036782,4430,560,0.00125,6.8,0.05,0.63
0.5,0.035,4430,560,0.00125,6.8,0.05,0.63
0.8447,0.035,2700,735,0.002,1.35,0.5,0.9
